PubmedID,Title,Publication Date,Company-Affiliated Authors
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025-03-11,None
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025-03-11,"VUI Center for Outcomes Research, Analysis, and Evaluation, Henry Ford Health System, Detroit, Michigan, USA., Department of Human and Pediatric Pathology Gaetano Barresi, Section of Urology, Messina, Italy., Public Health Sciences, Henry Ford Health System, Detroit, Michigan, USA."
40066655,The role of surgical resection of the primary tumor in metastatic upper tract urothelial carcinoma: a systematic review and meta-analysis.,2025-03-11,"Department of Urology, AOU Città della Salute e della Scienza, Torino School of Medicine, Turin, Italy."
40066650,"Chronotype, sleep timing, sleep regularity, and cancer risk: A systematic review.",2025-03-11,"Public Health Sciences Division, Fred Hutchinson Cancer Center, USA., Division of Sleep Medicine, Harvard Medical School, USA., Division of Sleep and Circadian Disorders, Departments of Medicine and Neurology, Brigham and Women's Hospital, USA., Department of Population Science, American Cancer Society, USA."
40066574,Influence of handgrip strength on postoperative complications and survival in primary liver cancer patients.,2025-03-11,None
40066501,FLOT1 Is a Novel Serum Biomarker of Ovarian Cancer Targeted by N6-methyladenosine Modification Inhibition.,2025-03-11,"Shanghai Yizhi Medical Technology Co. Ltd, Shanghai, China., Department of Medical Oncology, Shanghai Geriatric Medical Center, Shanghai, China."
40066500,Who cares about the dying? - Unpacking integration of palliative care and oncology in the Danish context.,2025-03-11,"Department of Health, VIVE - The Danish Center for Social Science Research, Copenhagen, Denmark."
40066468,Impact of prostate cancer screening in European ancestry un-affected men with germline DNA repair pathogenic variants.,2025-03-11,Department of Urology IRCCS-Humanitas Research Hospital Milan Italy.
40066458,Survival benefits of postoperative radiotherapy in esophageal cancer during the immunotherapy era:a retrospective cohort study based on the SEER database and a single-center registry in China.,2025-01-11,"Department of Oncology, Beidahuang Industry Group General Hospital, Harbin, China."
40066453,Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.,2025-01-11,"Department of Burn Surgery, The First People's Hospital of Foshan, Foshan, Guangdong, China., Department of Dermatology, The First People's Hospital of Foshan, Foshan, Guangdong, China."
